DATE,Symptoms,Deaths
4-16-2009,1,6669.0
4-16-2009,2,7528.0
4-16-2009,3,1447.0
4-16-2009,4,1030.0
4-16-2009,5,2226.0
4-16-2009,6,2201.0
4-16-2009,7,549.0
4-16-2009,8,1477.0
4-16-2009,9,844.0
4-16-2009,10,1239.0
4-16-2009,11,2052.0
4-16-2009,12,2376.0
4-16-2009,13,461.0
4-16-2009,14,669.0
4-16-2009,15,323.0
4-16-2009,16,616.0
4-16-2009,17,441.0
4-16-2009,18,198.0
4-16-2009,19,414.0
4-16-2009,20,247.0
4-16-2009,21,313.0
4-16-2009,22,338.0
4-16-2009,23,55.0
4-16-2009,24,88.0
4-16-2009,25,45.0
4-16-2009,26,100.0
4-16-2009,27,76.0
4-16-2009,28,13.0
4-16-2009,29,41.0
4-16-2009,30,41.0
4-16-2009,31,26104.0
4-16-2009,32,29145.0
4-16-2009,33,5746.0
4-16-2009,34,8651.0
4-16-2009,35,3956.0
4-16-2009,36,8657.0
4-16-2009,37,5831.0
4-16-2009,38,2400.0
4-16-2009,39,4920.0
4-16-2009,40,3102.0
4-16-2009,41,1425.0
4-16-2009,42,1582.0
4-16-2009,43,328.0
4-16-2009,44,486.0
4-16-2009,45,480.0
4-16-2009,46,227.0
4-16-2009,47,317.0
4-16-2009,48,286.0
4-16-2009,49,125.0
4-16-2009,50,181.0
4-16-2009,51,4444.0
4-16-2009,52,4977.0
4-16-2009,53,1000.0
4-16-2009,54,652.0
4-16-2009,55,1409.0
4-16-2009,56,1487.0
4-16-2009,57,391.0
4-16-2009,58,1026.0
4-16-2009,59,570.0
4-16-2009,60,822.0
4-16-2009,61,4098.0
4-16-2009,62,4605.0
4-16-2009,63,934.0
4-16-2009,64,1382.0
4-16-2009,65,1324.0
4-16-2009,66,588.0
4-16-2009,67,977.0
4-16-2009,68,776.0
4-16-2009,69,356.0
4-16-2009,70,494.0
4-16-2009,71,357.0
4-16-2009,72,382.0
4-16-2009,73,130.0
4-16-2009,74,107.0
4-16-2009,75,70.0
4-16-2009,76,67.0
4-16-2009,77,61.0
4-16-2009,78,51.0
4-16-2009,79,70.0
4-16-2009,80,43.0
4-16-2009,81,883.0
4-16-2009,82,785.0
4-16-2009,83,244.0
4-16-2009,84,251.0
4-16-2009,85,170.0
4-16-2009,86,184.0
4-16-2009,87,153.0
4-16-2009,88,114.0
4-16-2009,89,115.0
4-16-2009,90,93.0
4-16-2009,91,125.0
4-16-2009,92,144.0
4-16-2009,93,22.0
4-16-2009,94,37.0
4-16-2009,95,20.0
4-16-2009,96,38.0
4-16-2009,97,19.0
4-16-2009,98,10.0
4-16-2009,99,17.0
4-16-2009,100,16.0
4-16-2009,101,539.0
4-16-2009,102,597.0
4-16-2009,103,115.0
4-16-2009,104,172.0
4-16-2009,105,81.0
4-16-2009,106,177.0
4-16-2009,107,108.0
4-16-2009,108,40.0
4-16-2009,109,106.0
4-16-2009,110,67.0
4-17-2009,1,6589.0
4-17-2009,2,7338.0
4-17-2009,3,1463.0
4-17-2009,4,995.0
4-17-2009,5,2171.0
4-17-2009,6,2181.0
4-17-2009,7,592.0
4-17-2009,8,1553.0
4-17-2009,9,817.0
4-17-2009,10,1279.0
4-17-2009,11,1210.0
4-17-2009,12,1225.0
4-17-2009,13,251.0
4-17-2009,14,368.0
4-17-2009,15,180.0
4-17-2009,16,380.0
4-17-2009,17,246.0
4-17-2009,18,81.0
4-17-2009,19,223.0
4-17-2009,20,99.0
4-17-2009,21,2556.0
4-17-2009,22,2784.0
4-17-2009,23,551.0
4-17-2009,24,829.0
4-17-2009,25,346.0
4-17-2009,26,798.0
4-17-2009,27,571.0
4-17-2009,28,224.0
4-17-2009,29,493.0
4-17-2009,30,295.0
4-17-2009,31,33304.0
4-17-2009,32,37259.0
4-17-2009,33,7385.0
4-17-2009,34,10874.0
4-17-2009,35,4944.0
4-17-2009,36,10894.0
4-17-2009,37,7646.0
4-17-2009,38,2948.0
4-17-2009,39,6500.0
4-17-2009,40,4143.0
4-17-2009,41,2066.0
4-17-2009,42,2226.0
4-17-2009,43,446.0
4-17-2009,44,673.0
4-17-2009,45,654.0
4-17-2009,46,314.0
4-17-2009,47,493.0
4-17-2009,48,371.0
4-17-2009,49,194.0
4-17-2009,50,249.0
4-17-2009,51,3771.0
4-17-2009,52,4203.0
4-17-2009,53,834.0
4-17-2009,54,537.0
4-17-2009,55,1302.0
4-17-2009,56,1238.0
4-17-2009,57,382.0
4-17-2009,58,824.0
4-17-2009,59,477.0
4-17-2009,60,735.0
4-17-2009,61,4778.0
4-17-2009,62,5246.0
4-17-2009,63,1035.0
4-17-2009,64,1508.0
4-17-2009,65,1470.0
4-17-2009,66,692.0
4-17-2009,67,1055.0
4-17-2009,68,895.0
4-17-2009,69,378.0
4-17-2009,70,575.0
4-17-2009,71,184.0
4-17-2009,72,171.0
4-17-2009,73,61.0
4-17-2009,74,61.0
4-17-2009,75,37.0
4-17-2009,76,29.0
4-17-2009,77,33.0
4-17-2009,78,24.0
4-17-2009,79,30.0
4-17-2009,80,23.0
4-17-2009,81,1844.0
4-17-2009,82,1558.0
4-17-2009,83,516.0
4-17-2009,84,507.0
4-17-2009,85,331.0
4-17-2009,86,368.0
4-17-2009,87,297.0
4-17-2009,88,225.0
4-17-2009,89,233.0
4-17-2009,90,198.0
4-17-2009,91,660.0
4-17-2009,92,715.0
4-17-2009,93,131.0
4-17-2009,94,196.0
4-17-2009,95,81.0
4-17-2009,96,234.0
4-17-2009,97,149.0
4-17-2009,98,50.0
4-17-2009,99,120.0
4-17-2009,100,78.0
4-17-2009,101,730.0
4-17-2009,102,824.0
4-17-2009,103,159.0
4-17-2009,104,221.0
4-17-2009,105,106.0
4-17-2009,106,241.0
4-17-2009,107,163.0
4-17-2009,108,58.0
4-17-2009,109,167.0
4-17-2009,110,87.0
4-18-2009,1,5668.0
4-18-2009,2,6404.0
4-18-2009,3,1184.0
4-18-2009,4,853.0
4-18-2009,5,1865.0
4-18-2009,6,1870.0
4-18-2009,7,501.0
4-18-2009,8,1277.0
4-18-2009,9,679.0
4-18-2009,10,1067.0
4-18-2009,11,1795.0
4-18-2009,12,2032.0
4-18-2009,13,379.0
4-18-2009,14,604.0
4-18-2009,15,252.0
4-18-2009,16,584.0
4-18-2009,17,364.0
4-18-2009,18,161.0
4-18-2009,19,339.0
4-18-2009,20,217.0
4-18-2009,21,1510.0
4-18-2009,22,1716.0
4-18-2009,23,321.0
4-18-2009,24,490.0
4-18-2009,25,244.0
4-18-2009,26,490.0
4-18-2009,27,333.0
4-18-2009,28,128.0
4-18-2009,29,278.0
4-18-2009,30,149.0
4-18-2009,31,18663.0
4-18-2009,32,20963.0
4-18-2009,33,4131.0
4-18-2009,34,6018.0
4-18-2009,35,2858.0
4-18-2009,36,6101.0
4-18-2009,37,4206.0
4-18-2009,38,1616.0
4-18-2009,39,3585.0
4-18-2009,40,2340.0
4-18-2009,41,1105.0
4-18-2009,42,1228.0
4-18-2009,43,238.0
4-18-2009,44,374.0
4-18-2009,45,379.0
4-18-2009,46,167.0
4-18-2009,47,254.0
4-18-2009,48,205.0
4-18-2009,49,88.0
4-18-2009,50,145.0
4-18-2009,51,4371.0
4-18-2009,52,4834.0
4-18-2009,53,987.0
4-18-2009,54,681.0
4-18-2009,55,1424.0
4-18-2009,56,1429.0
4-18-2009,57,363.0
4-18-2009,58,1061.0
4-18-2009,59,549.0
4-18-2009,60,838.0
4-18-2009,61,2159.0
4-18-2009,62,2328.0
4-18-2009,63,495.0
4-18-2009,64,698.0
4-18-2009,65,703.0
4-18-2009,66,301.0
4-18-2009,67,492.0
4-18-2009,68,432.0
4-18-2009,69,190.0
4-18-2009,70,279.0
4-18-2009,71,520.0
4-18-2009,72,437.0
4-18-2009,73,177.0
4-18-2009,74,168.0
4-18-2009,75,94.0
4-18-2009,76,118.0
4-18-2009,77,77.0
4-18-2009,78,75.0
4-18-2009,79,53.0
4-18-2009,80,58.0
4-18-2009,81,855.0
4-18-2009,82,729.0
4-18-2009,83,232.0
4-18-2009,84,260.0
4-18-2009,85,152.0
4-18-2009,86,151.0
4-18-2009,87,121.0
4-18-2009,88,141.0
4-18-2009,89,110.0
4-18-2009,90,87.0
4-18-2009,91,508.0
4-18-2009,92,526.0
4-18-2009,93,128.0
4-18-2009,94,194.0
4-18-2009,95,81.0
4-18-2009,96,151.0
4-18-2009,97,122.0
4-18-2009,98,48.0
4-18-2009,99,99.0
4-18-2009,100,71.0
4-18-2009,101,794.0
4-18-2009,102,790.0
4-18-2009,103,140.0
4-18-2009,104,222.0
4-18-2009,105,120.0
4-18-2009,106,243.0
4-18-2009,107,155.0
4-18-2009,108,55.0
4-18-2009,109,135.0
4-18-2009,110,91.0
4-19-2009,1,6014.0
4-19-2009,2,6722.0
4-19-2009,3,1341.0
4-19-2009,4,865.0
4-19-2009,5,1934.0
4-19-2009,6,1885.0
4-19-2009,7,526.0
4-19-2009,8,1418.0
4-19-2009,9,759.0
4-19-2009,10,1162.0
4-19-2009,11,1482.0
4-19-2009,12,1587.0
4-19-2009,13,308.0
4-19-2009,14,533.0
4-19-2009,15,213.0
4-19-2009,16,498.0
4-19-2009,17,373.0
4-19-2009,18,126.0
4-19-2009,19,249.0
4-19-2009,20,175.0
4-19-2009,21,3840.0
4-19-2009,22,4119.0
4-19-2009,23,865.0
4-19-2009,24,1200.0
4-19-2009,25,589.0
4-19-2009,26,1270.0
4-19-2009,27,868.0
4-19-2009,28,352.0
4-19-2009,29,721.0
4-19-2009,30,455.0
4-19-2009,31,19851.0
4-19-2009,32,22254.0
4-19-2009,33,4247.0
4-19-2009,34,6630.0
4-19-2009,35,2954.0
4-19-2009,36,6634.0
4-19-2009,37,4580.0
4-19-2009,38,1684.0
4-19-2009,39,3785.0
4-19-2009,40,2466.0
4-19-2009,41,2038.0
4-19-2009,42,2292.0
4-19-2009,43,443.0
4-19-2009,44,681.0
4-19-2009,45,682.0
4-19-2009,46,340.0
4-19-2009,47,423.0
4-19-2009,48,356.0
4-19-2009,49,163.0
4-19-2009,50,234.0
4-19-2009,51,3437.0
4-19-2009,52,3855.0
4-19-2009,53,756.0
4-19-2009,54,485.0
4-19-2009,55,1107.0
4-19-2009,56,1177.0
4-19-2009,57,295.0
4-19-2009,58,733.0
4-19-2009,59,422.0
4-19-2009,60,638.0
4-19-2009,61,2344.0
4-19-2009,62,2522.0
4-19-2009,63,514.0
4-19-2009,64,758.0
4-19-2009,65,740.0
4-19-2009,66,363.0
4-19-2009,67,525.0
4-19-2009,68,448.0
4-19-2009,69,202.0
4-19-2009,70,281.0
4-19-2009,71,348.0
4-19-2009,72,268.0
