DATE,country,Hospitalized,Moving_Avg_Window_5,Death_Count,Death_Moving_Avg_Window_5
4-16-2009,aleppo,24842,24842.0,0.0,0.0
4-17-2009,aleppo,24579,24710.5,0.0,0.0
4-18-2009,aleppo,20999,23473.333333333332,0.0,0.0
4-19-2009,aleppo,22407,23206.75,5.0,1.25
4-20-2009,aleppo,32322,25029.8,16.0,4.2
4-21-2009,aleppo,30119,26085.2,12.0,6.6
4-22-2009,aleppo,22135,25596.4,21.0,10.8
4-23-2009,aleppo,22415,25879.6,18.0,14.4
4-24-2009,aleppo,18056,25009.4,29.0,19.2
4-25-2009,aleppo,26674,23879.8,41.0,24.2
4-26-2009,aleppo,16462,21148.4,28.0,27.4
4-27-2009,aleppo,27407,22202.8,22.0,27.6
4-28-2009,aleppo,30381,23796.0,25.0,29.0
4-29-2009,aleppo,36383,27461.4,22.0,27.6
4-30-2009,aleppo,18262,25779.0,22.0,23.8
5-01-2009,aleppo,19399,26366.4,0.0,18.2
5-02-2009,aleppo,41452,29175.4,0.0,13.8
5-03-2009,aleppo,22614,27622.0,0.0,8.8
5-04-2009,aleppo,26700,25685.4,0.0,4.4
5-05-2009,aleppo,42887,30610.4,0.0,0.0
5-06-2009,aleppo,42885,35307.6,0.0,0.0
5-07-2009,aleppo,51441,37305.4,0.0,0.0
5-08-2009,aleppo,25388,37860.2,0.0,0.0
5-09-2009,aleppo,37978,40115.8,0.0,0.0
5-10-2009,aleppo,50809,41700.2,1098.0,219.6
5-11-2009,aleppo,35092,40141.6,1266.0,472.8
5-12-2009,aleppo,50050,39863.4,1456.0,764.0
5-13-2009,aleppo,70913,48968.4,1640.0,1092.0
5-14-2009,aleppo,54944,52361.6,1884.0,1468.8
5-15-2009,aleppo,47361,51672.0,2150.0,1679.2
5-16-2009,aleppo,49563,54566.2,2440.0,1914.0
5-17-2009,aleppo,53478,55251.8,2720.0,2166.8
5-18-2009,aleppo,62559,53581.0,3040.0,2446.8
5-19-2009,aleppo,49942,52580.6,3348.0,2739.6
5-20-2009,aleppo,52575,53623.4,3625.0,3034.6
5-21-2009,aleppo,57727,55256.2,3840.0,3314.6
5-22-2009,aleppo,40340,52628.6,3998.0,3570.2
5-23-2009,aleppo,42665,48649.8,4069.0,3776.0
5-24-2009,aleppo,35457,45752.8,4042.0,3914.8
5-25-2009,aleppo,40561,43350.0,3925.0,3974.8
5-26-2009,aleppo,24581,36720.8,3738.0,3954.4
5-27-2009,aleppo,24643,33581.4,3493.0,3853.4
5-28-2009,aleppo,33484,31745.2,3191.0,3677.8
5-29-2009,aleppo,24643,29582.4,2870.0,3443.4
5-30-2009,aleppo,12804,24031.0,2544.0,3167.2
5-31-2009,aleppo,20929,23300.6,2228.0,2865.2
6-01-2009,aleppo,27921,23956.2,0.0,2166.6
6-02-2009,aleppo,24856,22230.6,0.0,1528.4
6-03-2009,aleppo,2281,17758.2,0.0,954.4
6-04-2009,aleppo,25266,20250.6,0.0,445.6
6-05-2009,aleppo,34007,22866.2,0.0,0.0
6-06-2009,aleppo,31179,23517.8,0.0,0.0
6-07-2009,aleppo,27840,24114.6,0.0,0.0
6-08-2009,aleppo,12062,26070.8,0.0,0.0
6-09-2009,aleppo,12314,23480.4,0.0,0.0
6-10-2009,aleppo,27553,22189.6,403.0,80.6
6-11-2009,aleppo,24951,20944.0,334.0,147.4
6-12-2009,aleppo,23945,20165.0,267.0,200.8
6-13-2009,aleppo,9996,19751.8,216.0,244.0
6-14-2009,aleppo,14564,20201.8,179.0,279.8
6-15-2009,aleppo,17758,18242.8,151.0,229.4
6-16-2009,aleppo,24829,18218.4,135.0,189.6
6-17-2009,aleppo,29001,19229.6,117.0,159.6
6-18-2009,aleppo,19175,21065.4,95.0,135.4
6-19-2009,aleppo,26216,23395.8,69.0,113.4
6-20-2009,aleppo,19599,23764.0,62.0,95.6
6-21-2009,aleppo,26476,24093.4,71.0,82.8
6-22-2009,aleppo,22260,22745.2,44.0,68.2
6-23-2009,aleppo,16037,22117.6,53.0,59.8
6-24-2009,aleppo,18810,20636.4,46.0,55.2
6-25-2009,aleppo,14651,19646.8,47.0,52.2
6-26-2009,aleppo,7450,15841.6,19.0,41.8
6-27-2009,aleppo,33573,18104.2,22.0,37.4
6-28-2009,aleppo,32089,21314.6,16.0,30.0
6-29-2009,aleppo,16682,20889.0,19.0,24.6
