DATE,country,Hospitalized,Moving_Avg_Window_5,Death_Count,Death_Moving_Avg_Window_5
4-16-2009,colombia,7613,7613.0,0.0,0.0
4-17-2009,colombia,4162,5887.5,0.0,0.0
4-18-2009,colombia,6604,6126.333333333333,0.0,0.0
4-19-2009,colombia,5408,5946.75,0.0,0.0
4-20-2009,colombia,5220,5801.4,4.0,0.8
4-21-2009,colombia,6292,5537.2,3.0,1.4
4-22-2009,colombia,8201,6345.0,2.0,1.8
4-23-2009,colombia,10254,7075.0,5.0,2.8
4-24-2009,colombia,9988,7991.0,6.0,4.0
4-25-2009,colombia,8876,8722.2,6.0,4.4
4-26-2009,colombia,8155,9094.8,7.0,5.2
4-27-2009,colombia,7777,9010.0,13.0,7.4
4-28-2009,colombia,7660,8491.2,12.0,8.8
4-29-2009,colombia,6344,7762.4,9.0,9.4
4-30-2009,colombia,6961,7379.4,9.0,10.0
5-01-2009,colombia,9593,7667.0,0.0,8.6
5-02-2009,colombia,11276,8366.8,0.0,6.0
5-03-2009,colombia,10930,9020.8,0.0,3.6
5-04-2009,colombia,7182,9188.4,0.0,1.8
5-05-2009,colombia,13928,10581.8,0.0,0.0
5-06-2009,colombia,7427,10148.6,0.0,0.0
5-07-2009,colombia,7377,9368.8,0.0,0.0
5-08-2009,colombia,11173,9417.4,0.0,0.0
5-09-2009,colombia,9677,9916.4,0.0,0.0
5-10-2009,colombia,10439,9218.6,177.0,35.4
5-11-2009,colombia,14941,10721.4,201.0,75.6
5-12-2009,colombia,11078,11461.6,228.0,121.2
5-13-2009,colombia,11539,11534.8,236.0,168.4
5-14-2009,colombia,11574,11914.2,270.0,222.4
5-15-2009,colombia,9826,11791.6,302.0,247.4
5-16-2009,colombia,15225,11848.4,328.0,272.8
5-17-2009,colombia,7586,11150.0,356.0,298.4
5-18-2009,colombia,10724,10987.0,381.0,327.4
5-19-2009,colombia,11783,11028.8,430.0,359.4
5-20-2009,colombia,14710,12005.6,488.0,396.6
5-21-2009,colombia,13221,11604.8,546.0,440.2
5-22-2009,colombia,13696,12826.8,600.0,489.0
5-23-2009,colombia,18550,14392.0,645.0,541.8
5-24-2009,colombia,10817,14198.8,686.0,593.0
5-25-2009,colombia,12677,13792.2,733.0,642.0
5-26-2009,colombia,11111,13370.2,773.0,687.4
5-27-2009,colombia,8798,12390.6,787.0,724.8
5-28-2009,colombia,15355,11751.6,793.0,754.4
5-29-2009,colombia,9466,11481.4,772.0,771.6
5-30-2009,colombia,7969,10539.8,738.0,772.6
5-31-2009,colombia,9942,10306.0,693.0,756.6
6-01-2009,colombia,5597,9665.8,0.0,599.2
6-02-2009,colombia,9926,8580.0,0.0,440.6
6-03-2009,colombia,6319,7950.6,0.0,286.2
6-04-2009,colombia,8809,8118.6,0.0,138.6
6-05-2009,colombia,12618,8653.8,0.0,0.0
6-06-2009,colombia,8530,9240.4,0.0,0.0
6-07-2009,colombia,7254,8706.0,0.0,0.0
6-08-2009,colombia,11031,9648.4,0.0,0.0
6-09-2009,colombia,7667,9420.0,0.0,0.0
6-10-2009,colombia,12647,9425.8,171.0,34.2
6-11-2009,colombia,2646,8249.0,149.0,64.0
6-12-2009,colombia,8706,8539.4,117.0,87.4
6-13-2009,colombia,10766,8486.4,101.0,107.6
6-14-2009,colombia,10416,9036.2,83.0,124.2
6-15-2009,colombia,8624,8231.6,70.0,104.0
6-16-2009,colombia,5735,8849.4,58.0,85.8
6-17-2009,colombia,10145,9137.2,51.0,72.6
6-18-2009,colombia,3673,7718.6,44.0,61.2
6-19-2009,colombia,8473,7330.0,39.0,52.4
6-20-2009,colombia,10090,7623.2,30.0,44.4
6-21-2009,colombia,12590,8994.2,28.0,38.4
6-22-2009,colombia,10121,8989.4,22.0,32.6
6-23-2009,colombia,9580,10170.8,22.0,28.2
6-24-2009,colombia,9959,10468.0,15.0,23.4
6-25-2009,colombia,8303,10110.6,16.0,20.6
6-26-2009,colombia,9778,9548.2,21.0,19.2
6-27-2009,colombia,7,7525.4,12.0,17.2
6-28-2009,colombia,7158,7041.0,14.0,15.6
6-29-2009,colombia,9008,6850.8,13.0,15.2
