DATE,country,Hospitalized,Moving_Avg_Window_5,Death_Count,Death_Moving_Avg_Window_5
4-16-2009,Iran,1099,1099.0,0.0,0.0
4-17-2009,Iran,9244,5171.5,0.0,0.0
4-18-2009,Iran,5523,5288.666666666667,0.0,0.0
4-19-2009,Iran,13980,7461.5,0.0,0.0
4-20-2009,Iran,7277,7424.6,0.0,0.0
4-21-2009,Iran,5812,8367.2,4.0,0.8
4-22-2009,Iran,6447,7807.8,4.0,1.6
4-23-2009,Iran,1961,7095.4,8.0,3.2
4-24-2009,Iran,7507,5800.8,10.0,5.2
4-25-2009,Iran,6255,5596.4,6.0,6.4
4-26-2009,Iran,7745,5983.0,5.0,6.6
4-27-2009,Iran,5306,5754.8,3.0,6.4
4-28-2009,Iran,1458,5654.2,3.0,5.4
4-29-2009,Iran,6988,5550.4,9.0,5.2
4-30-2009,Iran,4428,5185.0,7.0,5.4
5-01-2009,Iran,7183,5072.6,0.0,4.4
5-02-2009,Iran,6514,5314.2,0.0,3.8
5-03-2009,Iran,10720,7166.6,0.0,3.2
5-04-2009,Iran,15425,8854.0,0.0,1.4
5-05-2009,Iran,5201,9008.6,0.0,0.0
5-06-2009,Iran,6178,8807.6,0.0,0.0
5-07-2009,Iran,3742,8253.2,0.0,0.0
5-08-2009,Iran,9666,8042.4,0.0,0.0
5-09-2009,Iran,8243,6606.0,0.0,0.0
5-10-2009,Iran,9675,7500.8,201.0,40.2
5-11-2009,Iran,9734,8212.0,228.0,85.8
5-12-2009,Iran,5474,8558.4,238.0,133.4
5-13-2009,Iran,8584,8342.0,248.0,183.0
5-14-2009,Iran,4439,7581.2,237.0,230.4
5-15-2009,Iran,6156,6877.4,242.0,238.6
5-16-2009,Iran,10183,6967.2,270.0,247.0
5-17-2009,Iran,7103,7293.0,296.0,258.6
5-18-2009,Iran,10973,7770.8,317.0,272.4
5-19-2009,Iran,10783,9039.6,332.0,291.4
5-20-2009,Iran,10766,9961.6,345.0,312.0
5-21-2009,Iran,14208,10766.6,391.0,336.2
5-22-2009,Iran,11245,11595.0,438.0,364.6
5-23-2009,Iran,9818,11364.0,474.0,396.0
5-24-2009,Iran,11428,11493.0,512.0,432.0
5-25-2009,Iran,10059,11351.6,534.0,469.8
5-26-2009,Iran,8916,10293.2,549.0,501.4
5-27-2009,Iran,11641,10372.4,550.0,523.8
5-28-2009,Iran,6254,9659.6,538.0,536.6
5-29-2009,Iran,10819,9537.8,525.0,539.2
5-30-2009,Iran,9095,9345.0,489.0,530.2
5-31-2009,Iran,6076,8777.0,454.0,511.2
6-01-2009,Iran,7915,8031.8,0.0,401.2
6-02-2009,Iran,6933,8167.6,0.0,293.6
6-03-2009,Iran,9994,8002.6,0.0,188.6
6-04-2009,Iran,8337,7851.0,0.0,90.8
6-05-2009,Iran,10029,8641.6,0.0,0.0
6-06-2009,Iran,2292,7517.0,0.0,0.0
6-07-2009,Iran,4642,7058.8,0.0,0.0
6-08-2009,Iran,11006,7261.2,0.0,0.0
6-09-2009,Iran,5858,6765.4,0.0,0.0
6-10-2009,Iran,5342,5828.0,103.0,20.6
6-11-2009,Iran,4522,6274.0,83.0,37.2
6-12-2009,Iran,5611,6467.8,72.0,51.6
6-13-2009,Iran,5395,5345.6,62.0,64.0
6-14-2009,Iran,6139,5401.8,57.0,75.4
6-15-2009,Iran,54,4344.2,45.0,63.8
6-16-2009,Iran,3779,4195.6,35.0,54.2
6-17-2009,Iran,6056,4284.6,29.0,45.6
6-18-2009,Iran,9141,5033.8,26.0,38.4
6-19-2009,Iran,4101,4626.2,18.0,30.6
6-20-2009,Iran,1760,4967.4,15.0,24.6
6-21-2009,Iran,4168,5045.2,15.0,20.6
6-22-2009,Iran,7174,5268.8,17.0,18.2
6-23-2009,Iran,11848,5810.2,13.0,15.6
6-24-2009,Iran,5143,6018.6,13.0,14.6
6-25-2009,Iran,6705,7007.6,8.0,13.2
6-26-2009,Iran,3086,6791.2,11.0,12.4
6-27-2009,Iran,5593,6475.0,10.0,11.0
6-28-2009,Iran,6764,5458.2,8.0,10.0
6-29-2009,Iran,6530,5735.6,9.0,9.2
