DATE,country,Hospitalized,Moving_Avg_Window_5,Death_Count,Death_Moving_Avg_Window_5
4-16-2009,karachi,96351,96351.0,0.0,0.0
4-17-2009,karachi,123420,109885.5,0.0,0.0
4-18-2009,karachi,68962,96244.33333333333,1.0,0.3333333333333333
4-19-2009,karachi,73504,90559.25,23.0,6.0
4-20-2009,karachi,75671,87581.6,39.0,12.6
4-21-2009,karachi,38315,75974.4,82.0,29.0
4-22-2009,karachi,89939,69278.2,86.0,46.2
4-23-2009,karachi,99956,75477.0,84.0,62.8
4-24-2009,karachi,60659,72908.0,72.0,72.6
4-25-2009,karachi,58486,69471.0,62.0,77.2
4-26-2009,karachi,82265,78261.0,66.0,74.0
4-27-2009,karachi,79779,76229.0,77.0,72.2
4-28-2009,karachi,80762,72390.2,69.0,69.2
4-29-2009,karachi,39581,68174.6,68.0,68.4
4-30-2009,karachi,125122,81501.8,91.0,74.2
5-01-2009,karachi,73077,79664.2,0.0,61.0
5-02-2009,karachi,82642,80236.8,0.0,45.6
5-03-2009,karachi,86314,81347.2,0.0,31.8
5-04-2009,karachi,146945,102820.0,0.0,18.2
5-05-2009,karachi,110617,99919.0,0.0,0.0
5-06-2009,karachi,79008,101105.2,0.0,0.0
5-07-2009,karachi,107150,106006.8,0.0,0.0
5-08-2009,karachi,133956,115535.2,0.0,0.0
5-09-2009,karachi,128951,111936.4,0.0,0.0
5-10-2009,karachi,145882,118989.4,2368.0,473.6
5-11-2009,karachi,184551,140098.0,2683.0,1010.2
5-12-2009,karachi,106961,140060.2,2952.0,1600.6
5-13-2009,karachi,120131,137295.2,3347.0,2270.0
5-14-2009,karachi,191553,149815.6,3737.0,3017.4
5-15-2009,karachi,161928,153024.8,4141.0,3372.0
5-16-2009,karachi,97698,135654.2,4659.0,3767.2
5-17-2009,karachi,183903,151042.6,5191.0,4215.0
5-18-2009,karachi,73862,141788.8,5732.0,4692.0
5-19-2009,karachi,58101,115098.4,6224.0,5189.4
5-20-2009,karachi,177095,118131.8,6667.0,5694.6
5-21-2009,karachi,100850,118762.2,6974.0,6157.6
5-22-2009,karachi,152558,112493.2,7435.0,6606.4
5-23-2009,karachi,70469,111814.6,7770.0,7014.0
5-24-2009,karachi,132945,126783.4,7963.0,7361.8
5-25-2009,karachi,118952,115154.8,7996.0,7627.6
5-26-2009,karachi,55204,106025.6,7866.0,7806.0
5-27-2009,karachi,160296,107573.2,7540.0,7827.0
5-28-2009,karachi,70441,107567.6,7096.0,7692.2
5-29-2009,karachi,76608,96300.2,6566.0,7412.8
5-30-2009,karachi,104531,93416.0,5937.0,7001.0
5-31-2009,karachi,86398,99654.8,5306.0,6489.0
6-01-2009,karachi,103228,88241.2,0.0,4981.0
6-02-2009,karachi,111361,96425.2,0.0,3561.8
6-03-2009,karachi,62135,93530.6,0.0,2248.6
6-04-2009,karachi,120878,96800.0,0.0,1061.2
6-05-2009,karachi,158997,111319.8,0.0,0.0
6-06-2009,karachi,85555,107785.2,0.0,0.0
6-07-2009,karachi,89863,103485.6,0.0,0.0
6-08-2009,karachi,82889,107636.4,0.0,0.0
6-09-2009,karachi,127456,108952.0,0.0,0.0
6-10-2009,karachi,46886,86529.8,1060.0,212.0
6-11-2009,karachi,104422,90303.2,897.0,391.4
6-12-2009,karachi,58161,83962.8,744.0,540.2
6-13-2009,karachi,67657,80916.4,652.0,670.6
6-14-2009,karachi,625,55550.2,516.0,773.8
6-15-2009,karachi,76712,61515.4,428.0,647.4
6-16-2009,karachi,106758,61982.6,373.0,542.6
6-17-2009,karachi,61153,62581.0,301.0,454.0
6-18-2009,karachi,101031,69255.8,246.0,372.8
6-19-2009,karachi,23208,73772.4,204.0,310.4
6-20-2009,karachi,32670,64964.0,191.0,263.0
6-21-2009,karachi,119912,67594.8,163.0,221.0
6-22-2009,karachi,60124,67389.0,161.0,193.0
6-23-2009,karachi,76099,62402.6,123.0,168.4
6-24-2009,karachi,109634,79687.8,107.0,149.0
6-25-2009,karachi,102480,93649.8,97.0,130.2
6-26-2009,karachi,44668,78601.0,100.0,117.6
6-27-2009,karachi,104526,87481.4,93.0,104.0
6-28-2009,karachi,69646,86190.8,84.0,96.2
6-29-2009,karachi,73841,79032.2,85.0,91.8
