DATE,country,Hospitalized,Moving_Avg_Window_5,Death_Count,Death_Moving_Avg_Window_5
4-16-2009,lebanon,5322,5322.0,0.0,0.0
4-17-2009,lebanon,7540,6431.0,0.0,0.0
4-18-2009,lebanon,4094,5652.0,0.0,0.0
4-19-2009,lebanon,7515,6117.75,0.0,0.0
4-20-2009,lebanon,13001,7494.4,3.0,0.6
4-21-2009,lebanon,9190,8268.0,3.0,1.2
4-22-2009,lebanon,2802,7320.4,4.0,2.0
4-23-2009,lebanon,10118,8525.2,6.0,3.2
4-24-2009,lebanon,3679,7758.0,7.0,4.6
4-25-2009,lebanon,3862,5930.2,4.0,4.8
4-26-2009,lebanon,5406,5173.4,9.0,6.0
4-27-2009,lebanon,7585,6130.0,11.0,7.4
4-28-2009,lebanon,2610,4628.4,9.0,8.0
4-29-2009,lebanon,5386,4969.8,11.0,8.8
4-30-2009,lebanon,6852,5567.8,17.0,11.4
5-01-2009,lebanon,1812,4849.0,0.0,9.6
5-02-2009,lebanon,2984,3928.8,0.0,7.4
5-03-2009,lebanon,4102,4227.2,0.0,5.6
5-04-2009,lebanon,3729,3895.8,0.0,3.4
5-05-2009,lebanon,8749,4275.2,0.0,0.0
5-06-2009,lebanon,5833,5079.4,0.0,0.0
5-07-2009,lebanon,6209,5724.4,0.0,0.0
5-08-2009,lebanon,6263,6156.6,0.0,0.0
5-09-2009,lebanon,6252,6661.2,0.0,0.0
5-10-2009,lebanon,4585,5828.4,147.0,29.4
5-11-2009,lebanon,4092,5480.2,156.0,60.6
5-12-2009,lebanon,9968,6232.0,155.0,91.6
5-13-2009,lebanon,5312,6041.8,169.0,125.4
5-14-2009,lebanon,7166,6224.6,179.0,161.2
5-15-2009,lebanon,7665,6840.6,188.0,169.4
5-16-2009,lebanon,9676,7957.4,193.0,176.8
5-17-2009,lebanon,6983,7360.4,192.0,184.2
5-18-2009,lebanon,2572,6812.4,220.0,194.4
5-19-2009,lebanon,10167,7412.6,249.0,208.4
5-20-2009,lebanon,4759,6831.4,273.0,225.4
5-21-2009,lebanon,7592,6414.6,299.0,246.6
5-22-2009,lebanon,3225,5663.0,323.0,272.8
5-23-2009,lebanon,5891,6326.8,338.0,296.4
5-24-2009,lebanon,11560,6605.4,345.0,315.6
5-25-2009,lebanon,1993,6052.2,350.0,331.0
5-26-2009,lebanon,4760,5485.8,344.0,340.0
5-27-2009,lebanon,3394,5519.6,327.0,340.8
5-28-2009,lebanon,8038,5949.0,312.0,335.6
5-29-2009,lebanon,8119,5260.8,290.0,324.6
5-30-2009,lebanon,2307,5323.6,267.0,308.0
5-31-2009,lebanon,2898,4951.2,238.0,286.8
6-01-2009,lebanon,5852,5442.8,0.0,221.4
6-02-2009,lebanon,8084,5452.0,0.0,159.0
6-03-2009,lebanon,7855,5399.2,0.0,101.0
6-04-2009,lebanon,8758,6689.4,0.0,47.6
6-05-2009,lebanon,6478,7405.4,0.0,0.0
6-06-2009,lebanon,3941,7023.2,0.0,0.0
6-07-2009,lebanon,10038,7414.0,0.0,0.0
6-08-2009,lebanon,4045,6652.0,0.0,0.0
6-09-2009,lebanon,3731,5646.6,0.0,0.0
6-10-2009,lebanon,7376,5826.2,49.0,9.8
6-11-2009,lebanon,7889,6615.8,40.0,17.8
6-12-2009,lebanon,6831,5974.4,35.0,24.8
6-13-2009,lebanon,3666,5898.6,31.0,31.0
6-14-2009,lebanon,8903,6933.0,23.0,35.6
6-15-2009,lebanon,3778,6213.4,20.0,29.8
6-16-2009,lebanon,3073,5250.2,17.0,25.2
6-17-2009,lebanon,8329,5549.8,16.0,21.4
6-18-2009,lebanon,6209,6058.4,13.0,17.8
6-19-2009,lebanon,6628,5603.4,8.0,14.8
6-20-2009,lebanon,3826,5613.0,13.0,13.4
6-21-2009,lebanon,3858,5770.0,10.0,12.0
6-22-2009,lebanon,6447,5393.6,9.0,10.6
6-23-2009,lebanon,2454,4642.6,7.0,9.4
6-24-2009,lebanon,7563,4829.6,7.0,9.2
6-25-2009,lebanon,3046,4673.6,9.0,8.4
6-26-2009,lebanon,4581,4818.2,6.0,7.6
6-27-2009,lebanon,6559,4840.6,2.0,6.2
6-28-2009,lebanon,4318,5213.4,6.0,6.0
6-29-2009,lebanon,3456,4392.0,5.0,5.6
