DATE,country,Hospitalized,Moving_Avg_Window_5,Death_Count,Death_Moving_Avg_Window_5
4-16-2009,nairobi,16508,16508.0,0.0,0.0
4-17-2009,nairobi,13958,15233.0,0.0,0.0
4-18-2009,nairobi,16009,15491.666666666666,0.0,0.0
4-19-2009,nairobi,12665,14785.0,2.0,0.5
4-20-2009,nairobi,9985,13825.0,2.0,0.8
4-21-2009,nairobi,6523,11828.0,7.0,2.2
4-22-2009,nairobi,15149,12066.2,7.0,3.6
4-23-2009,nairobi,9588,10782.0,10.0,5.6
4-24-2009,nairobi,25931,13435.2,14.0,8.0
4-25-2009,nairobi,14060,14250.2,11.0,9.8
4-26-2009,nairobi,12785,15502.6,8.0,10.0
4-27-2009,nairobi,11467,14766.2,9.0,10.4
4-28-2009,nairobi,20776,17003.8,17.0,11.8
4-29-2009,nairobi,25488,16915.2,23.0,13.6
4-30-2009,nairobi,13796,16862.4,23.0,16.0
5-01-2009,nairobi,18565,18018.4,0.0,14.4
5-02-2009,nairobi,16270,18979.0,0.0,12.6
5-03-2009,nairobi,19523,18728.4,0.0,9.2
5-04-2009,nairobi,14212,16473.2,0.0,4.6
5-05-2009,nairobi,26530,19020.0,0.0,0.0
5-06-2009,nairobi,23767,20060.4,0.0,0.0
5-07-2009,nairobi,15798,19966.0,0.0,0.0
5-08-2009,nairobi,21295,20320.4,0.0,0.0
5-09-2009,nairobi,22685,22015.0,0.0,0.0
5-10-2009,nairobi,22074,21123.8,859.0,171.8
5-11-2009,nairobi,30296,22429.6,942.0,360.2
5-12-2009,nairobi,28074,24884.8,1012.0,562.6
5-13-2009,nairobi,27801,26186.0,1114.0,785.4
5-14-2009,nairobi,27972,27243.4,1226.0,1030.6
5-15-2009,nairobi,21442,27117.0,1323.0,1123.4
5-16-2009,nairobi,28303,26718.4,1409.0,1216.8
5-17-2009,nairobi,22264,25556.4,1586.0,1331.6
5-18-2009,nairobi,27534,25503.0,1747.0,1458.2
5-19-2009,nairobi,20971,24102.8,1898.0,1592.6
5-20-2009,nairobi,28393,25493.0,2016.0,1731.2
5-21-2009,nairobi,18298,23492.0,2105.0,1870.4
5-22-2009,nairobi,18649,22769.0,2152.0,1983.6
5-23-2009,nairobi,21889,21640.0,2152.0,2064.6
5-24-2009,nairobi,20396,21525.0,2105.0,2106.0
5-25-2009,nairobi,20230,19892.4,2022.0,2107.2
5-26-2009,nairobi,16933,19619.4,1899.0,2066.0
5-27-2009,nairobi,21825,20254.6,1743.0,1984.2
5-28-2009,nairobi,9715,17819.8,1577.0,1869.2
5-29-2009,nairobi,14518,16644.2,1401.0,1728.4
5-30-2009,nairobi,33706,19339.4,1229.0,1569.8
5-31-2009,nairobi,11876,18328.0,1066.0,1403.2
6-01-2009,nairobi,15258,17014.6,0.0,1054.6
6-02-2009,nairobi,17905,18652.6,0.0,739.2
6-03-2009,nairobi,18817,19512.4,0.0,459.0
6-04-2009,nairobi,12756,15322.4,0.0,213.2
6-05-2009,nairobi,4384,13824.0,0.0,0.0
6-06-2009,nairobi,569,10886.2,0.0,0.0
6-07-2009,nairobi,10858,9476.8,0.0,0.0
6-08-2009,nairobi,21866,10086.6,0.0,0.0
6-09-2009,nairobi,19198,11375.0,0.0,0.0
6-10-2009,nairobi,17764,14051.0,171.0,34.2
6-11-2009,nairobi,10944,16126.0,144.0,63.0
6-12-2009,nairobi,15069,16968.2,119.0,86.8
6-13-2009,nairobi,9080,14411.0,111.0,109.0
6-14-2009,nairobi,11245,12820.4,85.0,126.0
6-15-2009,nairobi,18062,12880.0,74.0,106.6
6-16-2009,nairobi,17374,14166.0,65.0,90.8
6-17-2009,nairobi,10586,13269.4,46.0,76.2
6-18-2009,nairobi,10674,13588.2,46.0,63.2
6-19-2009,nairobi,7893,12917.8,41.0,54.4
6-20-2009,nairobi,10133,11332.0,33.0,46.2
6-21-2009,nairobi,13477,10552.6,28.0,38.8
6-22-2009,nairobi,18502,12135.8,19.0,33.4
6-23-2009,nairobi,11230,12247.0,24.0,29.0
6-24-2009,nairobi,14274,13523.2,20.0,24.8
6-25-2009,nairobi,9814,13459.4,10.0,20.2
6-26-2009,nairobi,21569,15077.8,16.0,17.8
6-27-2009,nairobi,9850,13347.4,11.0,16.2
6-28-2009,nairobi,19264,14954.2,14.0,14.2
6-29-2009,nairobi,16152,15329.8,17.0,13.6
