DATE,country,Hospitalized,Moving_Avg_Window_5,Death_Count,Death_Moving_Avg_Window_5
4-16-2009,saudiarabia,15247,15247.0,0.0,0.0
4-17-2009,saudiarabia,17371,16309.0,0.0,0.0
4-18-2009,saudiarabia,7960,13526.0,0.0,0.0
4-19-2009,saudiarabia,8535,12278.25,1.0,0.25
4-20-2009,saudiarabia,13519,12526.4,6.0,1.4
4-21-2009,saudiarabia,30120,15501.0,13.0,4.0
4-22-2009,saudiarabia,22938,16614.4,12.0,6.4
4-23-2009,saudiarabia,12085,17439.4,14.0,9.2
4-24-2009,saudiarabia,15869,18906.2,14.0,11.8
4-25-2009,saudiarabia,17470,19696.4,16.0,13.8
4-26-2009,saudiarabia,431,13758.6,25.0,16.2
4-27-2009,saudiarabia,19419,13054.8,23.0,18.4
4-28-2009,saudiarabia,20558,14749.4,15.0,18.6
4-29-2009,saudiarabia,29264,17428.4,19.0,19.6
4-30-2009,saudiarabia,14816,16897.6,13.0,19.0
5-01-2009,saudiarabia,21676,21146.6,0.0,14.0
5-02-2009,saudiarabia,11077,19478.2,0.0,9.4
5-03-2009,saudiarabia,14659,18298.4,0.0,6.4
5-04-2009,saudiarabia,14483,15342.2,0.0,2.6
5-05-2009,saudiarabia,19286,16236.2,0.0,0.0
5-06-2009,saudiarabia,19779,15856.8,0.0,0.0
5-07-2009,saudiarabia,26291,18899.6,0.0,0.0
5-08-2009,saudiarabia,15317,19031.2,0.0,0.0
5-09-2009,saudiarabia,26697,21474.0,0.0,0.0
5-10-2009,saudiarabia,27118,23040.4,341.0,68.2
5-11-2009,saudiarabia,25178,24120.2,346.0,137.4
5-12-2009,saudiarabia,13792,21620.4,376.0,212.6
5-13-2009,saudiarabia,20038,22564.6,373.0,287.2
5-14-2009,saudiarabia,19654,21156.0,434.0,374.0
5-15-2009,saudiarabia,20356,19803.6,460.0,397.8
5-16-2009,saudiarabia,14749,17717.8,504.0,429.4
5-17-2009,saudiarabia,12618,17483.0,541.0,462.4
5-18-2009,saudiarabia,26315,18738.4,566.0,501.0
5-19-2009,saudiarabia,29815,20770.6,640.0,542.2
5-20-2009,saudiarabia,21007,20900.8,722.0,594.6
5-21-2009,saudiarabia,22686,22488.2,800.0,653.8
5-22-2009,saudiarabia,18336,23631.8,875.0,720.6
5-23-2009,saudiarabia,25834,23535.6,938.0,795.0
5-24-2009,saudiarabia,24500,22472.6,989.0,864.8
5-25-2009,saudiarabia,16383,21547.8,1021.0,924.6
5-26-2009,saudiarabia,12436,19497.8,1021.0,968.8
5-27-2009,saudiarabia,21179,20066.4,1006.0,995.0
5-28-2009,saudiarabia,25698,20039.2,968.0,1001.0
5-29-2009,saudiarabia,22103,19559.8,914.0,986.0
5-30-2009,saudiarabia,15865,19456.2,839.0,949.6
5-31-2009,saudiarabia,23028,21574.6,773.0,900.0
6-01-2009,saudiarabia,13527,20044.2,0.0,698.8
6-02-2009,saudiarabia,12380,17380.6,0.0,505.2
6-03-2009,saudiarabia,14967,15953.4,0.0,322.4
6-04-2009,saudiarabia,10746,14929.6,0.0,154.6
6-05-2009,saudiarabia,24894,15302.8,0.0,0.0
6-06-2009,saudiarabia,10730,14743.4,0.0,0.0
6-07-2009,saudiarabia,15534,15374.2,0.0,0.0
6-08-2009,saudiarabia,18617,16104.2,0.0,0.0
6-09-2009,saudiarabia,17251,17405.2,0.0,0.0
6-10-2009,saudiarabia,22500,16926.4,160.0,32.0
6-11-2009,saudiarabia,17158,18212.0,140.0,60.0
6-12-2009,saudiarabia,14786,18062.4,117.0,83.4
6-13-2009,saudiarabia,20697,18478.4,101.0,103.6
6-14-2009,saudiarabia,3997,15827.6,95.0,122.6
6-15-2009,saudiarabia,14934,14314.4,75.0,105.6
6-16-2009,saudiarabia,4100,11702.8,62.0,90.0
6-17-2009,saudiarabia,15008,11747.2,47.0,76.0
6-18-2009,saudiarabia,6283,8864.4,43.0,64.4
6-19-2009,saudiarabia,18028,11670.6,46.0,54.6
6-20-2009,saudiarabia,21554,12994.6,33.0,46.2
6-21-2009,saudiarabia,18200,15814.6,21.0,38.0
6-22-2009,saudiarabia,17324,16277.8,23.0,33.2
6-23-2009,saudiarabia,16151,18251.4,20.0,28.6
6-24-2009,saudiarabia,15434,17732.6,26.0,24.6
6-25-2009,saudiarabia,22759,17973.6,24.0,22.8
6-26-2009,saudiarabia,19967,18327.0,21.0,22.8
6-27-2009,saudiarabia,15365,17935.2,15.0,21.2
6-28-2009,saudiarabia,14197,17544.4,20.0,21.2
6-29-2009,saudiarabia,16919,17841.4,13.0,18.6
