DATE,country,Hospitalized,Moving_Avg_Window_5,Death_Count,Death_Moving_Avg_Window_5
4-16-2009,thailand,1292,1292.0,0.0,0.0
4-17-2009,thailand,639,965.5,0.0,0.0
4-18-2009,thailand,1761,1230.6666666666667,0.0,0.0
4-19-2009,thailand,1107,1199.75,0.0,0.0
4-21-2009,thailand,559,1071.6,0.0,0.0
4-22-2009,thailand,1692,1151.6,1.0,0.2
4-23-2009,thailand,380,1099.8,2.0,0.6
4-24-2009,thailand,911,929.8,0.0,0.6
4-25-2009,thailand,1451,998.6,1.0,0.8
4-26-2009,thailand,553,997.4,0.0,0.8
4-27-2009,thailand,1980,1055.0,4.0,1.4
4-28-2009,thailand,1067,1192.4,1.0,1.2
4-29-2009,thailand,190,1048.2,0.0,1.2
4-30-2009,thailand,1407,1039.4,2.0,1.4
5-01-2009,thailand,1973,1323.4,0.0,1.4
5-02-2009,thailand,1144,1156.2,0.0,0.6
5-03-2009,thailand,1053,1153.4,0.0,0.4
5-04-2009,thailand,1672,1449.8,0.0,0.4
5-05-2009,thailand,1054,1379.2,0.0,0.0
5-06-2009,thailand,898,1164.2,0.0,0.0
5-07-2009,thailand,403,1016.0,0.0,0.0
5-08-2009,thailand,696,944.6,0.0,0.0
5-09-2009,thailand,1674,945.0,0.0,0.0
5-10-2009,thailand,2006,1135.4,1.0,0.2
5-11-2009,thailand,1636,1283.0,0.0,0.2
5-12-2009,thailand,1312,1464.8,1.0,0.4
5-13-2009,thailand,1198,1565.2,0.0,0.4
5-14-2009,thailand,980,1426.4,2.0,0.8
5-15-2009,thailand,1488,1322.8,3.0,1.2
5-16-2009,thailand,1640,1323.6,3.0,1.8
5-17-2009,thailand,1252,1311.6,2.0,2.0
5-18-2009,thailand,632,1198.4,1.0,2.2
5-19-2009,thailand,1441,1290.6,3.0,2.4
5-20-2009,thailand,170,1027.0,1.0,2.0
5-21-2009,thailand,2068,1112.6,1.0,1.6
5-22-2009,thailand,1578,1177.8,0.0,1.2
5-23-2009,thailand,248,1101.0,0.0,1.0
5-24-2009,thailand,1545,1121.8,0.0,0.4
5-25-2009,thailand,1331,1354.0,1.0,0.4
5-26-2009,thailand,1316,1203.6,2.0,0.6
5-27-2009,thailand,1383,1164.6,0.0,0.6
5-28-2009,thailand,1449,1404.8,2.0,1.0
5-29-2009,thailand,1541,1404.0,0.0,1.0
5-30-2009,thailand,2008,1539.4,1.0,1.0
5-31-2009,thailand,888,1453.8,1.0,0.8
6-01-2009,thailand,1761,1529.4,0.0,0.8
6-02-2009,thailand,954,1430.4,0.0,0.4
6-03-2009,thailand,719,1266.0,0.0,0.4
6-04-2009,thailand,1170,1098.4,0.0,0.2
6-05-2009,thailand,1551,1231.0,0.0,0.0
6-06-2009,thailand,1381,1155.0,0.0,0.0
6-07-2009,thailand,1467,1257.6,0.0,0.0
6-08-2009,thailand,1813,1476.4,0.0,0.0
6-09-2009,thailand,257,1293.8,0.0,0.0
6-10-2009,thailand,1758,1335.2,0.0,0.0
6-11-2009,thailand,1719,1402.8,3.0,0.6
6-12-2009,thailand,911,1291.6,0.0,0.6
6-13-2009,thailand,510,1031.0,3.0,1.2
6-14-2009,thailand,482,1076.0,1.0,1.4
6-15-2009,thailand,1246,973.6,1.0,1.6
6-16-2009,thailand,1641,958.0,1.0,1.2
6-17-2009,thailand,1590,1093.8,1.0,1.4
6-18-2009,thailand,784,1148.6,0.0,0.8
6-19-2009,thailand,2646,1581.4,1.0,0.8
6-20-2009,thailand,771,1486.4,0.0,0.6
6-21-2009,thailand,1190,1396.2,2.0,0.8
6-22-2009,thailand,961,1270.4,2.0,1.0
6-23-2009,thailand,1163,1346.2,1.0,1.2
6-24-2009,thailand,481,913.2,1.0,1.2
6-25-2009,thailand,224,803.8,2.0,1.6
6-26-2009,thailand,727,711.2,0.0,1.2
6-27-2009,thailand,1477,814.4,1.0,1.0
6-28-2009,thailand,744,730.6,0.0,0.8
6-29-2009,thailand,1693,973.0,0.0,0.6
