DATE,country,Hospitalized,Moving_Avg_Window_5,Death_Count,Death_Moving_Avg_Window_5
4-16-2009,turkey,2934,2934.0,0.0,0.0
4-17-2009,turkey,5825,4379.5,0.0,0.0
4-18-2009,turkey,2767,3842.0,0.0,0.0
4-19-2009,turkey,1480,3251.5,1.0,0.25
4-20-2009,turkey,2886,3178.4,1.0,0.4
4-21-2009,turkey,2077,3007.0,2.0,0.8
4-22-2009,turkey,3602,2562.4,1.0,1.0
4-23-2009,turkey,3997,2808.4,5.0,2.0
4-24-2009,turkey,3794,3271.2,2.0,2.2
4-25-2009,turkey,4697,3633.4,1.0,2.2
4-26-2009,turkey,5869,4391.8,0.0,1.8
4-27-2009,turkey,2941,4259.6,2.0,2.0
4-28-2009,turkey,1377,3735.6,1.0,1.2
4-29-2009,turkey,3756,3728.0,5.0,1.8
4-30-2009,turkey,5360,3860.6,7.0,3.0
5-01-2009,turkey,8422,4371.2,0.0,3.0
5-02-2009,turkey,1471,4077.2,0.0,2.6
5-03-2009,turkey,4400,4681.8,0.0,2.4
5-04-2009,turkey,3891,4708.8,0.0,1.4
5-05-2009,turkey,2731,4183.0,0.0,0.0
5-06-2009,turkey,2094,2917.4,0.0,0.0
5-07-2009,turkey,6344,3892.0,0.0,0.0
5-08-2009,turkey,6353,4282.6,0.0,0.0
5-09-2009,turkey,3220,4148.4,0.0,0.0
5-10-2009,turkey,5896,4781.4,2.0,0.4
5-11-2009,turkey,6105,5583.6,6.0,1.6
5-12-2009,turkey,3229,4960.6,7.0,3.0
5-13-2009,turkey,4256,4541.2,6.0,4.2
5-14-2009,turkey,4102,4717.6,7.0,5.6
5-15-2009,turkey,2917,4121.8,7.0,6.6
5-16-2009,turkey,6709,4242.6,6.0,6.6
5-17-2009,turkey,2424,4081.6,6.0,6.4
5-18-2009,turkey,4475,4125.4,4.0,6.0
5-19-2009,turkey,4759,4256.8,3.0,5.2
5-20-2009,turkey,5176,4708.6,5.0,4.8
5-21-2009,turkey,2792,3925.2,8.0,5.2
5-22-2009,turkey,4906,4421.6,3.0,4.6
5-23-2009,turkey,3524,4231.4,4.0,4.6
5-24-2009,turkey,4825,4244.6,7.0,5.4
5-26-2009,turkey,4532,4115.8,2.0,4.8
5-27-2009,turkey,5842,4725.8,2.0,3.6
5-28-2009,turkey,5575,4859.6,3.0,3.6
5-29-2009,turkey,5487,5252.2,5.0,3.8
5-30-2009,turkey,6586,5604.4,4.0,3.2
5-31-2009,turkey,6301,5958.2,3.0,3.4
6-01-2009,turkey,1950,5179.8,0.0,3.0
6-02-2009,turkey,5271,5119.0,0.0,2.4
6-03-2009,turkey,4598,4941.2,0.0,1.4
6-04-2009,turkey,4350,4494.0,0.0,0.6
6-05-2009,turkey,1852,3604.2,0.0,0.0
6-06-2009,turkey,4635,4141.2,0.0,0.0
6-07-2009,turkey,2139,3514.8,0.0,0.0
6-08-2009,turkey,3558,3306.8,0.0,0.0
6-09-2009,turkey,2830,3002.8,0.0,0.0
6-10-2009,turkey,2261,3084.6,4.0,0.8
6-11-2009,turkey,3498,2857.2,5.0,1.8
6-12-2009,turkey,6675,3764.4,2.0,2.2
6-13-2009,turkey,3351,3723.0,4.0,3.0
6-14-2009,turkey,1992,3555.4,4.0,3.8
6-15-2009,turkey,5534,4210.0,5.0,4.0
6-16-2009,turkey,2711,4052.6,2.0,3.4
6-17-2009,turkey,2443,3206.2,3.0,3.6
6-18-2009,turkey,5414,3618.8,7.0,4.2
6-19-2009,turkey,3089,3838.2,2.0,3.8
6-20-2009,turkey,2400,3211.4,0.0,2.8
6-21-2009,turkey,2959,3261.0,4.0,3.2
6-22-2009,turkey,4738,3720.0,1.0,2.8
6-23-2009,turkey,4676,3572.4,3.0,2.0
6-24-2009,turkey,5784,4111.4,7.0,3.0
6-25-2009,turkey,3273,4286.0,2.0,3.4
6-26-2009,turkey,4275,4549.2,2.0,3.0
6-27-2009,turkey,6835,4968.6,0.0,2.8
6-28-2009,turkey,2716,4576.6,6.0,3.4
6-29-2009,turkey,5474,4514.6,3.0,2.6
