DATE,country,Hospitalized,Moving_Avg_Window_5,Death_Count,Death_Moving_Avg_Window_5
4-16-2009,venezuela,439,439.0,0.0,0.0
4-17-2009,venezuela,2376,1407.5,0.0,0.0
4-18-2009,venezuela,1860,1558.3333333333333,1.0,0.3333333333333333
4-19-2009,venezuela,820,1373.75,0.0,0.25
4-21-2009,venezuela,1722,1443.4,2.0,0.6
4-22-2009,venezuela,678,1491.2,3.0,1.2
4-23-2009,venezuela,4249,1865.8,0.0,1.2
4-24-2009,venezuela,1611,1816.0,2.0,1.4
4-25-2009,venezuela,2623,2176.6,2.0,1.8
4-26-2009,venezuela,1744,2181.0,0.0,1.4
4-27-2009,venezuela,1619,2369.2,2.0,1.2
4-28-2009,venezuela,2374,1994.2,2.0,1.6
4-29-2009,venezuela,618,1795.6,1.0,1.4
4-30-2009,venezuela,1295,1530.0,3.0,1.6
5-01-2009,venezuela,1254,1432.0,0.0,1.6
5-02-2009,venezuela,2409,1590.0,0.0,1.2
5-03-2009,venezuela,1778,1470.8,0.0,0.8
5-04-2009,venezuela,1922,1731.6,0.0,0.6
5-05-2009,venezuela,2936,2059.8,0.0,0.0
5-06-2009,venezuela,2602,2329.4,0.0,0.0
5-07-2009,venezuela,1708,2189.2,0.0,0.0
5-08-2009,venezuela,1347,2103.0,0.0,0.0
5-09-2009,venezuela,2034,2125.4,0.0,0.0
5-10-2009,venezuela,1460,1830.2,60.0,12.0
5-11-2009,venezuela,2455,1800.8,67.0,25.4
5-12-2009,venezuela,2334,1926.0,71.0,39.6
5-13-2009,venezuela,3675,2391.6,71.0,53.8
5-14-2009,venezuela,1819,2348.6,75.0,68.8
5-15-2009,venezuela,1984,2453.4,77.0,72.2
5-16-2009,venezuela,1764,2315.2,84.0,75.6
5-17-2009,venezuela,2879,2424.2,90.0,79.4
5-18-2009,venezuela,3406,2370.4,102.0,85.6
5-19-2009,venezuela,3629,2732.4,110.0,92.6
5-20-2009,venezuela,2311,2797.8,121.0,101.4
5-21-2009,venezuela,1681,2781.2,129.0,110.4
5-22-2009,venezuela,3358,2877.0,134.0,119.2
5-23-2009,venezuela,3790,2953.8,150.0,128.8
5-24-2009,venezuela,1724,2572.8,159.0,138.6
5-25-2009,venezuela,2953,2701.2,168.0,148.0
5-26-2009,venezuela,2721,2909.2,170.0,156.2
5-27-2009,venezuela,1521,2541.8,171.0,163.6
5-28-2009,venezuela,2015,2186.8,167.0,167.0
5-29-2009,venezuela,1528,2147.6,161.0,167.4
5-30-2009,venezuela,487,1654.4,152.0,164.2
5-31-2009,venezuela,1983,1506.8,140.0,158.2
6-01-2009,venezuela,2174,1637.4,0.0,124.0
6-02-2009,venezuela,1862,1606.8,0.0,90.6
6-03-2009,venezuela,1691,1639.4,0.0,58.4
6-04-2009,venezuela,497,1641.4,0.0,28.0
6-05-2009,venezuela,335,1311.8,0.0,0.0
6-06-2009,venezuela,2484,1373.8,0.0,0.0
6-07-2009,venezuela,1558,1313.0,0.0,0.0
6-08-2009,venezuela,1367,1248.2,0.0,0.0
6-09-2009,venezuela,1635,1475.8,0.0,0.0
6-10-2009,venezuela,2644,1937.6,31.0,6.2
6-11-2009,venezuela,2478,1936.4,25.0,11.2
6-12-2009,venezuela,396,1704.0,21.0,15.4
6-13-2009,venezuela,1477,1726.0,18.0,19.0
6-14-2009,venezuela,2150,1829.0,18.0,22.6
6-15-2009,venezuela,1898,1679.8,13.0,19.0
6-16-2009,venezuela,1353,1454.8,12.0,16.4
6-17-2009,venezuela,1478,1671.2,9.0,14.0
6-18-2009,venezuela,1826,1741.0,8.0,12.0
6-19-2009,venezuela,2019,1714.8,9.0,10.2
6-20-2009,venezuela,1409,1617.0,6.0,8.8
6-21-2009,venezuela,1991,1744.6,3.0,7.0
6-22-2009,venezuela,2749,1998.8,7.0,6.6
6-23-2009,venezuela,833,1800.2,5.0,6.0
6-24-2009,venezuela,2138,1824.0,5.0,5.2
6-25-2009,venezuela,2006,1943.4,1.0,4.2
6-26-2009,venezuela,1702,1885.6,3.0,4.2
6-27-2009,venezuela,1554,1646.6,3.0,3.4
6-28-2009,venezuela,3519,2183.8,7.0,3.8
6-29-2009,venezuela,1088,1973.8,0.0,2.8
