DATE,country,Hospitalized,Moving_Avg_Window_5,Death_Count,Death_Moving_Avg_Window_5
4-16-2009,yemen,1956,1956.0,0.0,0.0
4-17-2009,yemen,2709,2332.5,0.0,0.0
4-18-2009,yemen,2680,2448.3333333333335,0.0,0.0
4-19-2009,yemen,4299,2911.0,0.0,0.0
4-20-2009,yemen,2394,2807.6,0.0,0.0
4-21-2009,yemen,3337,3083.8,1.0,0.2
4-22-2009,yemen,3199,3181.8,6.0,1.4
4-23-2009,yemen,2849,3215.6,0.0,1.4
4-24-2009,yemen,2079,2771.6,6.0,2.6
4-25-2009,yemen,4144,3121.6,4.0,3.4
4-26-2009,yemen,3659,3186.0,2.0,3.6
4-27-2009,yemen,3265,3199.2,0.0,2.4
4-28-2009,yemen,3045,3238.4,3.0,3.0
4-29-2009,yemen,2826,3387.8,4.0,2.6
4-30-2009,yemen,4011,3361.2,1.0,2.0
5-01-2009,yemen,5257,3680.8,0.0,1.6
5-02-2009,yemen,3289,3685.6,0.0,1.6
5-03-2009,yemen,1938,3464.2,0.0,1.0
5-04-2009,yemen,6180,4135.0,0.0,0.2
5-05-2009,yemen,3051,3943.0,0.0,0.0
5-06-2009,yemen,5172,3926.0,0.0,0.0
5-07-2009,yemen,3555,3979.2,0.0,0.0
5-08-2009,yemen,3194,4230.4,0.0,0.0
5-09-2009,yemen,4097,3813.8,0.0,0.0
5-10-2009,yemen,5736,4350.8,91.0,18.2
5-11-2009,yemen,4468,4210.0,101.0,38.4
5-12-2009,yemen,5743,4647.6,118.0,62.0
5-13-2009,yemen,4950,4998.8,134.0,88.8
5-14-2009,yemen,6385,5456.4,154.0,119.6
5-15-2009,yemen,6980,5705.2,180.0,137.4
5-16-2009,yemen,7577,6327.0,205.0,158.2
5-17-2009,yemen,7508,6680.0,231.0,180.8
5-18-2009,yemen,7252,7140.4,263.0,206.6
5-19-2009,yemen,6659,7195.2,293.0,234.4
5-20-2009,yemen,5811,6961.4,324.0,263.2
5-21-2009,yemen,3998,6245.6,353.0,292.8
5-22-2009,yemen,3401,5424.2,375.0,321.6
5-23-2009,yemen,6923,5358.4,392.0,347.4
5-24-2009,yemen,7147,5456.0,394.0,367.6
5-25-2009,yemen,4601,5214.0,394.0,381.6
5-26-2009,yemen,4706,5355.6,383.0,387.6
5-27-2009,yemen,4780,5631.4,363.0,385.2
5-28-2009,yemen,869,4420.6,342.0,375.2
5-29-2009,yemen,5736,4138.4,311.0,358.6
5-30-2009,yemen,3534,3925.0,284.0,336.6
5-31-2009,yemen,3886,3761.0,250.0,310.0
6-01-2009,yemen,4320,3669.0,0.0,237.4
6-02-2009,yemen,4064,4308.0,0.0,169.0
6-03-2009,yemen,2282,3617.2,0.0,106.8
6-04-2009,yemen,3576,3625.6,0.0,50.0
6-05-2009,yemen,1821,3212.6,0.0,0.0
6-06-2009,yemen,4307,3210.0,0.0,0.0
6-07-2009,yemen,2630,2923.2,0.0,0.0
6-08-2009,yemen,2218,2910.4,0.0,0.0
6-09-2009,yemen,3223,2839.8,0.0,0.0
6-10-2009,yemen,1787,2833.0,46.0,9.2
6-11-2009,yemen,2219,2415.4,40.0,17.2
6-12-2009,yemen,3790,2647.4,31.0,23.4
6-13-2009,yemen,4113,3026.4,29.0,29.2
6-14-2009,yemen,3651,3112.0,20.0,33.2
6-15-2009,yemen,3060,3366.6,17.0,27.4
6-16-2009,yemen,4683,3859.4,21.0,23.6
6-17-2009,yemen,1788,3459.0,12.0,19.8
6-18-2009,yemen,5194,3675.2,11.0,16.2
6-19-2009,yemen,2864,3517.8,13.0,14.8
6-20-2009,yemen,4177,3741.2,8.0,13.0
6-21-2009,yemen,4026,3609.8,11.0,11.0
6-22-2009,yemen,2581,3768.4,6.0,9.8
6-23-2009,yemen,4400,3609.6,7.0,9.0
6-24-2009,yemen,3848,3806.4,7.0,7.8
6-25-2009,yemen,3573,3685.6,6.0,7.4
6-26-2009,yemen,3806,3641.6,4.0,6.0
6-27-2009,yemen,4840,4093.4,5.0,5.8
6-28-2009,yemen,4179,4049.2,5.0,5.4
6-29-2009,yemen,3932,4066.0,3.0,4.6
